Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,CPA,Mis,Dis,Rec,PrgR,Season
803,Hwang Hee-chan,KOR,"FW,MF",Wolves,26,1996,12.60,425,13,66,178,188,38,425,32,13,40.60,13,40.60,222,1520,702,25,11,7,25,20,267,2023
804,Dean Henderson,ENG,GK,Nott'ham Forest,25,1997,18.00,715,600,711,5,0,0,715,0,0,,0,,397,2242,1245,0,0,0,1,0,319,2023
805,Jordan Henderson,ENG,MF,Liverpool,32,1990,23.00,1782,34,277,1013,505,45,1782,23,12,52.20,8,34.80,1060,4836,2046,37,49,1,18,9,1319,2023
806,Wayne Hennessey,WAL,GK,Nott'ham Forest,35,1987,3.00,108,91,108,0,0,0,108,0,0,,0,,56,318,181,0,0,0,0,0,47,2023
807,Rico Henry,ENG,DF,Brentford,25,1997,36.00,1582,115,478,647,482,30,1582,50,26,52.00,17,34.00,782,3790,1832,55,41,9,50,44,813,2023
808,Son Heung-min,KOR,"MF,FW",Tottenham,30,1992,32.10,1217,12,143,457,643,106,1217,83,33,39.80,40,48.20,728,4927,2357,82,60,31,64,55,860,2023
809,Aaron Hickey,SCO,DF,Brentford,20,2002,21.30,1028,47,328,499,211,21,1028,45,17,37.80,18,40.00,616,3295,1802,41,17,3,16,13,624,2023
810,Jack Hinshelwood,ENG,FW,Brighton,17,2005,0.00,5,0,2,2,1,1,5,0,0,,0,,2,2,2,0,0,0,0,0,3,2023
811,Joseph Hodge,IRL,MF,Wolves,19,2002,1.90,118,5,26,56,36,4,118,0,0,,0,,56,174,89,1,2,0,1,2,77,2023
812,Rob Holding,ENG,DF,Arsenal,26,1995,6.30,499,58,240,245,15,7,499,1,1,100.00,0,0.00,319,1466,881,3,1,1,3,0,339,2023
813,Mason Holgate,ENG,DF,Everton,25,1996,5.60,286,35,120,139,27,5,286,3,3,100.00,0,0.00,100,450,279,4,3,0,6,0,141,2023
814,Will Hughes,ENG,MF,Crystal Palace,27,1995,9.40,474,27,101,250,131,13,474,7,3,42.90,4,57.10,234,1162,636,14,10,3,14,10,262,2023
815,Omari Hutchinson,ENG,FW,Chelsea,18,2003,0.30,16,0,0,4,12,3,16,0,0,,0,,11,61,23,1,0,1,1,1,12,2023
816,Pierre Højbjerg,DEN,MF,Tottenham,26,1995,34.80,2633,122,670,1537,449,33,2633,45,30,66.70,12,26.70,1507,6846,3215,46,41,8,39,35,1925,2023
817,Kelechi Iheanacho,NGA,"FW,MF",Leicester City,25,1996,12.50,464,10,28,197,244,58,463,39,20,51.30,17,43.60,293,1661,724,33,13,18,41,36,380,2023
818,Danny Ings,ENG,FW,West Ham,30,1992,8.60,229,8,22,105,105,37,229,18,5,27.80,12,66.70,129,554,260,9,8,3,11,10,157,2023
819,Danny Ings,ENG,FW,Aston Villa,30,1992,9.20,267,12,26,106,139,49,265,16,10,62.50,6,37.50,163,718,260,15,6,9,20,17,186,2023
820,Alexander Isak,SWE,FW,Newcastle Utd,22,1999,16.90,583,11,34,202,358,98,581,72,32,44.40,30,41.70,371,2548,1300,41,36,22,39,25,431,2023
821,Daniel Iversen,DEN,GK,Leicester City,25,1997,12.00,411,344,406,5,0,0,411,0,0,,0,,177,1011,571,0,0,0,0,0,136,2023
822,Alex Iwobi,NGA,"MF,FW",Everton,26,1996,37.50,1912,52,359,892,709,59,1912,110,55,50.00,50,45.50,1169,6913,3434,90,79,15,68,42,1285,2023
823,Daniel James,WAL,FW,Leeds United,24,1997,2.20,66,1,9,26,32,6,66,6,1,16.70,2,33.30,35,233,112,6,2,3,3,1,39,2023
824,Daniel James,WAL,FW,Fulham,24,1997,6.90,254,9,27,78,156,29,254,14,5,35.70,3,21.40,156,1229,618,24,11,8,10,13,173,2023
825,Reece James,ENG,"DF,MF",Chelsea,22,1999,13.80,1187,39,256,543,395,25,1187,40,22,55.00,10,25.00,710,3722,2018,52,26,9,13,14,813,2023
826,Vitaly Janelt,GER,"MF,DF",Brentford,24,1998,24.50,1244,66,335,675,242,36,1244,24,9,37.50,14,58.30,663,2798,1246,14,18,2,18,11,737,2023
827,Pontus Jansson,SWE,DF,Brentford,31,1991,8.00,393,73,243,137,13,8,393,2,2,100.00,0,0.00,192,734,310,1,1,0,2,1,217,2023
